appxpkg,name,description
"Microsoft.ZuneMusic","Zune","Microsoft's Zune Music Player"
"Microsoft.Music.Preview","Music Preview", "Microsoft's Music Preview"
"Microsoft.XboxIdentityProvider","Xbox ID Provider", "Microsoft's Xbox Live Account Management"
"Microsoft.BingTravel","Bing Travel", "Microsoft's Bing Travel"
"Microsoft.BingHealthAndFitness","Bing Health and Fitness", "Microsoft's Bing Health and Fitness"
"Microsoft.BingFoodAndDrink","Bing Food and Drink", "Microsoft's Bing Food and Drink"
"Microsoft.People","Microsoft People", "Microsoft's People and Contacts"
"Microsoft.BingFinance","Bing Finance", "Microsoft's Bing Finance"
"Microsoft.3DBuilder","3D Builder", "Microsoft's 3D Builder"
"Microsoft.WindowsCalculator","Windows Calculator", "Windows Calculator"
"Microsoft.BingNews","Bing News", "Microsoft's Bing News"
"Microsoft.XboxApp","Xbox App", "Microsoft's Xbox Application"
"Microsoft.BingSports","Bing Sports", "Microsoft's Bing Sports"
"Microsoft.WindowsCamera","Windows Camera", "Microsoft's Windows Camera"
"Microsoft.Getstarted","Windows Get Started", "Microsoft's Get Started"
"Microsoft.Office.OneNote","Microsoft One Note", "Microsoft's One Note"
"Microsoft.WindowsMaps","Windows Maps", "Windows Maps"
"Microsoft.MicrosoftSolitaireCollection","Microsoft Solitaire", "Microsoft's Solitaire Suite"
"Microsoft.MicrosoftOfficeHub","Microsoft Office Hub", "Microsoft's Office Hub"
"Microsoft.BingWeather","Bing Weather", "Microsoft's Bing Weather"
"Microsoft.WindowsStore","Windows Store", "Windows Store"
"Microsoft.Windows.Photos","Windows Photos", "Windows Photos"
"Microsoft.WindowsPhone","Windows Phone", "Windows Phone"